Week,Town,Case_Count,BI,CI,HI,LI,AI,Con100HH,RT,AvgTemp,TempRange,AvgHumidity,SunshineHours,RainfallHours,Rainfall,Year,Month,Population density
2012-07-02,山上區,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,29.7,5.514285714285714,77.42857142857143,7.4,0.37142857142857144,1.8571428571428572,2012,7,277.3513164502475
2012-07-09,山上區,0.0,1.0,3.125,1.0,0.0,0.0,1.0,0.01,29.557142857142857,5.614285714285714,78.0,9.028571428571428,0.7285714285714285,8.357142857142858,2012,7,277.3513164502475
2012-07-16,山上區,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,29.271428571428572,6.071428571428571,80.28571428571429,5.314285714285715,1.1285714285714286,9.142857142857142,2012,7,277.3513164502475
2012-07-23,山上區,0.0,2.0,1.176,2.0,0.0,0.0,2.0,0.01,28.52857142857143,6.8999999999999995,78.57142857142857,4.571428571428571,1.1142857142857143,16.428571428571427,2012,7,277.3513164502475
2012-07-30,山上區,0.0,,,,,,,0.01,28.114285714285717,5.057142857142857,85.71428571428571,1.7285714285714284,4.014285714285714,15.571428571428571,2012,7,277.3513164502475
2012-08-06,山上區,0.0,1.923,2.222,1.923,0.0,0.0,1.92,0.01,27.571428571428573,6.557142857142857,87.85714285714286,3.0714285714285716,4.442857142857143,42.92857142857143,2012,8,276.6697754501758
2012-08-13,山上區,0.0,18.1815,15.1515,1.818,0.0,0.0,18.18,0.01,28.785714285714285,5.857142857142857,83.71428571428571,5.214285714285714,1.1714285714285713,12.0,2012,8,276.6697754501758
2012-08-20,山上區,0.0,1.818,6.666,1.818,0.0,0.0,1.81,0.01,27.82857142857143,6.128571428571428,79.0,3.4,3.3285714285714287,14.0,2012,8,276.6697754501758
2012-08-27,山上區,0.0,7.272,7.843,7.272,72.727,0.0,7.27,0.01,27.885714285714283,6.385714285714286,78.71428571428571,4.385714285714285,2.4285714285714284,6.942857142857143,2012,8,276.6697754501758
2012-09-03,山上區,0.0,0.44625,1.38875,0.44625,0.0,0.0,0.445,0.01,29.342857142857145,5.985714285714286,71.85714285714286,7.6571428571428575,0.0,0.0,2012,9,276.74151660807803
2012-09-10,山上區,0.0,2.833,32.5,2.833,2.833,0.0,2.83,0.01,28.914285714285715,6.571428571428571,69.57142857142857,8.471428571428572,0.14285714285714285,0.7142857142857143,2012,9,276.74151660807803
2012-09-17,山上區,0.0,1.923,3.846,1.923,1.923,0.0,1.92,0.01,28.37142857142857,7.585714285714286,62.714285714285715,7.271428571428571,0.0,0.0,2012,9,276.74151660807803
2012-09-24,山上區,0.0,,,,,,,0.01,27.657142857142855,6.985714285714286,67.71428571428571,5.528571428571429,0.08571428571428572,1.7857142857142858,2012,9,276.74151660807803
2012-10-01,山上區,0.0,,,,,,,0.01,25.957142857142856,8.142857142857142,65.85714285714286,8.757142857142858,0.0,0.0,2012,10,
2012-10-08,山上區,0.0,,,,,,,0.01,25.37142857142857,8.8,66.0,7.014285714285713,0.0,0.0,2012,10,
2012-10-15,山上區,0.0,,,,,,,0.01,24.842857142857145,8.185714285714285,66.42857142857143,7.3428571428571425,0.0,0.0,2012,10,
2012-10-22,山上區,0.0,,,,,,,0.01,26.457142857142856,6.7,72.42857142857143,6.571428571428571,0.0,0.0,2012,10,
2012-10-29,山上區,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,24.442857142857143,6.114285714285714,74.0,3.1285714285714286,0.5571428571428572,0.35714285714285715,2012,10,
2012-11-05,山上區,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,24.657142857142855,7.5,68.0,7.357142857142857,0.0,0.0,2012,11,276.3110696606643
2012-11-12,山上區,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,23.400000000000002,6.414285714285714,77.42857142857143,5.6571428571428575,2.7857142857142856,11.642857142857142,2012,11,276.3110696606643
2012-11-19,山上區,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,23.642857142857142,7.571428571428571,77.14285714285714,4.642857142857143,0.4,1.7857142857142858,2012,11,276.3110696606643
2012-11-26,山上區,0.0,,,,,,,0.01,21.814285714285713,7.257142857142857,78.42857142857143,3.2857142857142856,0.48571428571428577,0.37142857142857144,2012,11,276.3110696606643
2012-12-03,山上區,0.0,,,,,,,0.01,19.2,5.6,75.14285714285714,1.7428571428571427,1.4857142857142858,1.6428571428571428,2012,12,276.0599756080063
2012-12-10,山上區,0.0,,,,,,,0.01,20.900000000000002,8.857142857142858,70.28571428571429,8.27142857142857,0.0,0.0,2012,12,276.0599756080063
2012-12-17,山上區,0.0,,,,,,,0.01,19.285714285714285,8.671428571428573,70.0,6.814285714285715,0.0,0.0,2012,12,276.0599756080063
2012-12-24,山上區,0.0,,,,,,,0.01,18.957142857142856,8.385714285714286,71.71428571428571,3.8000000000000003,0.5857142857142857,0.7857142857142857,2012,12,276.0599756080063
2012-12-31,山上區,0.0,,,,,,,0.01,16.642857142857142,7.385714285714286,72.42857142857143,4.571428571428571,0.14285714285714285,0.14285714285714285,2012,12,276.0599756080063
2013-01-07,山上區,0.0,,,,,,,0.01,17.657142857142855,5.828571428571428,79.85714285714286,1.1714285714285713,0.5285714285714286,0.9285714285714286,2013,1,272.0783413444293
2013-01-07,山上區,0.0,,,,,,,0.01,17.657142857142855,5.828571428571428,79.85714285714286,1.1714285714285713,0.5285714285714286,0.9285714285714286,2013,1,276.2751990817132
2013-01-14,山上區,0.0,,,,,,,0.01,16.242857142857144,8.942857142857143,70.28571428571429,8.528571428571428,0.0,0.0,2013,1,272.0783413444293
2013-01-14,山上區,0.0,,,,,,,0.01,16.242857142857144,8.942857142857143,70.28571428571429,8.528571428571428,0.0,0.0,2013,1,276.2751990817132
2013-01-21,山上區,0.0,,,,,,,0.01,18.2,7.3999999999999995,72.85714285714286,3.557142857142857,0.0,0.0,2013,1,272.0783413444293
2013-01-21,山上區,0.0,,,,,,,0.01,18.2,7.3999999999999995,72.85714285714286,3.557142857142857,0.0,0.0,2013,1,276.2751990817132
2013-01-28,山上區,0.0,,,,,,,0.01,19.885714285714283,9.957142857142857,65.71428571428571,7.714285714285714,0.19999999999999998,0.21428571428571427,2013,1,272.0783413444293
2013-01-28,山上區,0.0,,,,,,,0.01,19.885714285714283,9.957142857142857,65.71428571428571,7.714285714285714,0.19999999999999998,0.21428571428571427,2013,1,276.2751990817132
2013-02-04,山上區,0.0,,,,,,,0.01,20.3,8.557142857142857,73.42857142857143,6.428571428571429,0.0,0.0,2013,2,275.5577875026903
2013-02-11,山上區,0.0,,,,,,,0.01,19.857142857142858,9.671428571428573,70.85714285714286,7.3428571428571425,0.0,0.0,2013,2,275.5577875026903
2013-02-18,山上區,0.0,,,,,,,0.01,19.67142857142857,9.028571428571428,76.0,7.185714285714285,0.0,0.0,2013,2,275.5577875026903
2013-02-25,山上區,0.0,,,,,,,0.01,20.37142857142857,8.885714285714286,75.14285714285714,4.357142857142857,0.0,0.0,2013,2,275.5577875026903
2013-03-04,山上區,0.0,,,,,,,0.01,20.857142857142858,8.814285714285715,63.0,8.942857142857143,0.0,0.0,2013,3,275.0197288184231
2013-03-11,山上區,0.0,,,,,,,0.01,22.342857142857145,8.8,71.57142857142857,7.1000000000000005,0.0,0.0,2013,3,275.0197288184231
2013-03-18,山上區,0.0,,,,,,,0.01,25.085714285714285,6.857142857142857,76.28571428571429,5.557142857142857,0.05714285714285715,0.07142857142857142,2013,3,275.0197288184231
2013-03-25,山上區,0.0,,,,,,,0.01,23.5,9.042857142857143,71.57142857142857,6.6,0.5857142857142856,0.7142857142857143,2013,3,275.0197288184231
2013-04-01,山上區,0.0,,,,,,,0.01,22.942857142857143,7.3999999999999995,77.42857142857143,2.685714285714286,2.157142857142857,12.885714285714286,2013,4,274.6251524499605
2013-04-08,山上區,0.0,,,,,,,0.01,21.428571428571427,5.8999999999999995,76.0,1.7857142857142858,0.5142857142857143,1.3571428571428572,2013,4,274.6251524499605
2013-04-15,山上區,0.0,,,,,,,0.01,25.457142857142856,6.5,75.57142857142857,3.242857142857143,0.6714285714285715,0.14285714285714285,2013,4,274.6251524499605
2013-04-22,山上區,0.0,,,,,,,0.01,24.842857142857145,6.6000000000000005,76.14285714285714,5.114285714285714,1.5142857142857142,1.5714285714285714,2013,4,274.6251524499605
2013-04-29,山上區,0.0,,,,,,,0.01,25.17142857142857,5.957142857142857,78.0,3.8285714285714287,1.385714285714286,1.7142857142857142,2013,4,274.6251524499605
2013-05-06,山上區,0.0,,,,,,,0.01,27.12857142857143,5.2,77.0,3.8714285714285714,0.7285714285714286,1.4285714285714286,2013,5,274.1229643446445
2013-05-13,山上區,0.0,,,,,,,0.01,27.357142857142858,4.914285714285714,83.71428571428571,3.314285714285714,2.557142857142857,29.0,2013,5,274.1229643446445
2013-05-20,山上區,0.0,,,,,,,0.01,27.8,5.928571428571429,79.57142857142857,4.757142857142857,1.614285714285714,7.714285714285714,2013,5,274.1229643446445
2013-05-27,山上區,0.0,,,,,,,0.01,29.571428571428573,6.114285714285714,73.0,9.928571428571429,0.19999999999999998,1.0,2013,5,274.1229643446445
2013-06-03,山上區,0.0,,,,,,,0.01,29.87142857142857,6.285714285714286,71.28571428571429,8.942857142857143,0.028571428571428574,0.07142857142857142,2013,6,274.0512231867422
2013-06-10,山上區,0.0,,,,,,,0.01,29.071428571428573,6.3999999999999995,78.85714285714286,3.185714285714286,1.457142857142857,9.214285714285714,2013,6,274.0512231867422
2013-06-17,山上區,0.0,,,,,,,0.01,29.942857142857143,6.271428571428572,71.71428571428571,6.214285714285714,0.21428571428571427,0.9285714285714286,2013,6,274.0512231867422
2013-06-24,山上區,0.0,,,,,,,0.01,29.157142857142855,5.814285714285715,78.14285714285714,7.614285714285714,2.042857142857143,23.142857142857142,2013,6,274.0512231867422
2013-07-01,山上區,0.0,,,,,,,0.01,30.214285714285715,6.628571428571428,70.71428571428571,9.642857142857142,0.0,0.0,2013,7,273.5131645024751
2013-07-08,山上區,0.0,,,,,,,0.01,28.442857142857143,6.328571428571429,76.57142857142857,5.1000000000000005,2.457142857142857,14.414285714285715,2013,7,273.5131645024751
2013-07-15,山上區,0.0,,,,,,,0.01,29.12857142857143,6.357142857142857,72.85714285714286,3.9714285714285715,0.7857142857142857,3.9285714285714284,2013,7,273.5131645024751
2013-07-22,山上區,1.0,,,,,,,0.01,29.542857142857144,6.542857142857143,72.42857142857143,9.1,0.31428571428571433,0.7857142857142857,2013,7,273.5131645024751
2013-07-29,山上區,0.0,,,,,,,0.2957142752754741,29.571428571428573,6.542857142857143,73.42857142857143,6.414285714285714,0.5142857142857143,2.7142857142857144,2013,7,273.5131645024751
2013-08-05,山上區,0.0,,,,,,,0.7217547532155845,30.37142857142857,6.6571428571428575,71.28571428571429,10.257142857142856,0.31428571428571433,5.357142857142857,2013,8,272.8674940813545
2013-08-12,山上區,0.0,20.0,55.555,2.0,0.0,0.0,20.0,0.0073989292780107,29.085714285714285,6.314285714285715,77.0,4.4714285714285715,0.8142857142857143,2.7857142857142856,2013,8,272.8674940813545
2013-08-19,山上區,0.0,,,,,,,0.0067171320125263,28.24285714285714,5.2,83.57142857142857,4.2,5.328571428571428,31.285714285714285,2013,8,272.8674940813545
2013-08-26,山上區,0.0,,,,,,,0.009073772955156,27.114285714285717,4.985714285714286,85.42857142857143,3.2857142857142856,8.457142857142857,75.21428571428571,2013,8,272.8674940813545
2013-09-02,山上區,0.0,,,,,,,0.0099432884251452,28.485714285714288,6.685714285714285,69.14285714285714,8.585714285714285,0.0,0.0,2013,9,272.6522706076476
2013-09-09,山上區,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,29.32857142857143,6.014285714285714,74.28571428571429,7.614285714285715,0.32857142857142857,6.214285714285714,2013,9,272.6522706076476
2013-09-16,山上區,0.0,,,,,,,0.01,28.74285714285714,5.6571428571428575,75.85714285714286,5.457142857142856,1.0571428571428572,2.0285714285714285,2013,9,272.6522706076476
2013-09-23,山上區,0.0,,,,,,,0.01,28.114285714285717,5.857142857142857,75.57142857142857,4.5285714285714285,0.32857142857142857,0.35714285714285715,2013,9,272.6522706076476
2013-09-30,山上區,0.0,,,,,,,0.01,27.0,6.757142857142857,70.85714285714286,5.128571428571428,0.0,0.0,2013,9,272.6522706076476
2013-10-07,山上區,0.0,,,,,,,0.01,28.085714285714285,6.628571428571428,74.57142857142857,7.428571428571429,0.0,0.0,2013,10,
2013-10-14,山上區,0.0,,,,,,,0.01,25.900000000000002,8.257142857142856,67.42857142857143,8.414285714285715,0.0,0.0,2013,10,
2013-10-21,山上區,0.0,,,,,,,0.01,23.014285714285712,8.714285714285714,65.28571428571429,6.242857142857143,0.0,0.0,2013,10,
2013-10-28,山上區,0.0,,,,,,,0.01,25.099999999999998,7.385714285714286,72.85714285714286,6.028571428571429,0.04285714285714286,0.21428571428571427,2013,10,
2013-11-04,山上區,0.0,,,,,,,0.01,25.5,6.857142857142857,78.0,2.6285714285714286,0.0,0.0,2013,11,271.755506133869
2013-11-11,山上區,0.0,,,,,,,0.01,23.75714285714286,8.114285714285714,73.71428571428571,4.985714285714286,0.0,0.0,2013,11,271.755506133869
2013-11-18,山上區,0.0,,,,,,,0.01,21.37142857142857,7.742857142857143,63.857142857142854,4.042857142857143,0.14285714285714285,0.014285714285714287,2013,11,271.755506133869
2013-11-25,山上區,0.0,,,,,,,0.01,18.82857142857143,7.714285714285714,64.85714285714286,7.0,0.19999999999999998,0.6428571428571429,2013,11,271.755506133869
2013-12-02,山上區,0.0,,,,,,,0.01,20.24285714285714,9.057142857142857,62.857142857142854,7.514285714285714,0.0,0.0,2013,12,271.5402826601621
2013-12-09,山上區,0.0,,,,,,,0.01,20.285714285714285,6.628571428571429,72.42857142857143,2.3000000000000003,0.4428571428571429,0.14285714285714285,2013,12,271.5402826601621
2013-12-16,山上區,0.0,,,,,,,0.01,16.514285714285712,5.785714285714286,78.85714285714286,2.085714285714286,1.3571428571428572,2.8714285714285714,2013,12,271.5402826601621
2013-12-23,山上區,0.0,,,,,,,0.01,15.471428571428572,7.3,73.0,4.142857142857143,0.0,0.0,2013,12,271.5402826601621
2013-12-30,山上區,0.0,,,,,,,0.01,18.728571428571428,10.1,69.57142857142857,8.085714285714285,0.0,0.0,2013,12,271.5402826601621
2014-01-06,山上區,0.0,,,,,,,0.01,18.342857142857145,8.828571428571427,71.57142857142857,7.685714285714286,0.0,0.0,2014,1,269.4597890809958
2014-01-06,山上區,0.0,,,,,,,0.01,18.342857142857145,8.828571428571427,71.57142857142857,7.685714285714286,0.0,0.0,2014,1,271.2891886075041
2014-01-13,山上區,0.0,,,,,,,0.01,16.085714285714285,8.442857142857143,67.85714285714286,7.928571428571429,0.0,0.0,2014,1,269.4597890809958
2014-01-13,山上區,0.0,,,,,,,0.01,16.085714285714285,8.442857142857143,67.85714285714286,7.928571428571429,0.0,0.0,2014,1,271.2891886075041
2014-01-20,山上區,0.0,,,,,,,0.01,16.0,9.87142857142857,61.285714285714285,8.028571428571428,0.0,0.0,2014,1,269.4597890809958
2014-01-20,山上區,0.0,,,,,,,0.01,16.0,9.87142857142857,61.285714285714285,8.028571428571428,0.0,0.0,2014,1,271.2891886075041
2014-01-27,山上區,0.0,,,,,,,0.01,19.97142857142857,9.642857142857142,70.71428571428571,8.185714285714285,0.05714285714285715,0.0,2014,1,269.4597890809958
2014-01-27,山上區,0.0,,,,,,,0.01,19.97142857142857,9.642857142857142,70.71428571428571,8.185714285714285,0.05714285714285715,0.0,2014,1,271.2891886075041
2014-02-03,山上區,0.0,,,,,,,0.01,21.057142857142857,7.685714285714285,76.85714285714286,5.0,0.028571428571428574,0.07142857142857142,2014,2,270.8228710811392
2014-02-10,山上區,0.0,,,,,,,0.01,14.385714285714286,7.1571428571428575,78.14285714285714,2.414285714285714,0.7857142857142857,1.2142857142857142,2014,2,270.8228710811392
2014-02-17,山上區,0.0,,,,,,,0.01,17.12857142857143,9.1,72.85714285714286,8.314285714285715,0.2285714285714286,0.07142857142857142,2014,2,270.8228710811392
2014-02-24,山上區,0.0,,,,,,,0.01,20.714285714285715,8.628571428571428,73.57142857142857,7.571428571428571,0.0,0.0,2014,2,270.8228710811392
2014-03-03,山上區,0.0,,,,,,,0.01,18.342857142857145,7.799999999999999,73.57142857142857,3.3857142857142857,0.0,0.0,2014,3,271.002223975895
2014-03-10,山上區,0.0,,,,,,,0.01,19.614285714285717,7.142857142857143,69.14285714285714,3.6000000000000005,0.028571428571428574,0.0,2014,3,271.002223975895
2014-03-17,山上區,0.0,,,,,,,0.01,21.599999999999998,7.742857142857143,68.42857142857143,5.9142857142857155,0.0,0.0,2014,3,271.002223975895
2014-03-24,山上區,0.0,,,,,,,0.01,25.385714285714283,7.442857142857143,71.28571428571429,8.0,0.028571428571428574,0.014285714285714287,2014,3,271.002223975895
2014-03-31,山上區,0.0,,,,,,,0.01,22.342857142857145,6.471428571428571,77.0,1.8571428571428572,1.8571428571428572,5.571428571428571,2014,3,271.002223975895
2014-04-07,山上區,0.0,,,,,,,0.01,24.82857142857143,7.728571428571429,72.14285714285714,7.414285714285714,0.0,0.0,2014,4,270.5717770284812
2014-04-14,山上區,0.0,,,,,,,0.01,25.52857142857143,6.442857142857143,72.42857142857143,5.0,0.19999999999999998,0.07142857142857142,2014,4,270.5717770284812
2014-04-21,山上區,0.0,,,,,,,0.01,26.614285714285717,8.22857142857143,72.42857142857143,6.6571428571428575,0.0,0.0,2014,4,270.5717770284812
2014-04-28,山上區,0.0,,,,,,,0.01,25.442857142857143,6.5,73.71428571428571,3.014285714285714,0.7999999999999999,0.35714285714285715,2014,4,270.5717770284812
2014-05-05,山上區,0.0,,,,,,,0.01,24.342857142857145,6.242857142857143,79.14285714285714,2.5142857142857147,2.7571428571428567,9.285714285714286,2014,5,270.1054595021164
2014-05-12,山上區,0.0,,,,,,,0.01,28.400000000000002,5.714285714285714,79.42857142857143,5.8428571428571425,0.9142857142857144,3.2857142857142856,2014,5,270.1054595021164
2014-05-19,山上區,0.0,,,,,,,0.01,28.214285714285715,6.171428571428572,78.14285714285714,4.6571428571428575,1.9285714285714286,6.642857142857143,2014,5,270.1054595021164
2014-05-26,山上區,0.0,,,,,,,0.01,29.3,6.114285714285714,78.0,7.728571428571429,0.6285714285714287,6.357142857142857,2014,5,270.1054595021164
2014-06-02,山上區,0.0,,,,,,,0.01,28.485714285714288,6.314285714285715,79.71428571428571,3.5285714285714285,1.9142857142857144,10.428571428571429,2014,6,270.3206829758232
2014-06-09,山上區,0.0,,,,,,,0.01,27.97142857142857,5.628571428571428,83.14285714285714,1.8714285714285714,3.185714285714286,4.085714285714286,2014,6,270.3206829758232
2014-06-16,山上區,0.0,,,,,,,0.01,29.62857142857143,4.971428571428571,79.71428571428571,9.128571428571428,0.18571428571428572,0.42857142857142855,2014,6,270.3206829758232
2014-06-23,山上區,0.0,,,,,,,0.01,29.785714285714285,5.957142857142857,78.71428571428571,9.057142857142857,0.5714285714285714,4.242857142857143,2014,6,270.3206829758232
2014-06-30,山上區,0.0,,,,,,,0.01,30.728571428571428,5.328571428571428,74.42857142857143,8.0,0.028571428571428574,0.07142857142857142,2014,6,270.3206829758232
2014-07-07,山上區,0.0,,,,,,,0.01,30.74285714285714,5.8428571428571425,76.14285714285714,9.642857142857142,0.31428571428571433,0.4571428571428572,2014,7,270.3565535547744
2014-07-14,山上區,0.0,,,,,,,0.01,30.428571428571427,6.257142857142857,74.71428571428571,-8.185714285714287,0.8714285714285713,1.5714285714285714,2014,7,270.3565535547744
2014-07-21,山上區,0.0,,,,,,,0.01,29.542857142857144,5.985714285714286,80.85714285714286,-39.628571428571426,3.642857142857143,12.714285714285714,2014,7,270.3565535547744
2014-07-28,山上區,0.0,,,,,,,0.01,30.271428571428572,5.985714285714286,78.28571428571429,-53.199999999999996,0.37142857142857144,3.8857142857142857,2014,7,270.3565535547744
2014-08-04,山上區,0.0,,,,,,,0.01,28.728571428571428,5.957142857142857,83.28571428571429,4.571428571428571,2.9285714285714284,26.714285714285715,2014,8,270.1413300810675
