Week,Town,Year,Month,Case_Count,Case_Lag1W,Case_Lag2W,Case_Lag3W,AvgTemp,TempRange,AvgHumidity,SunshineHours,RainfallHours,Rainfall,Temp_Lag2W,Temp_Lag4W,Temp_Lag6W,Temp_Lag8W,Rain_Lag2W,Rain_Lag4W,Rain_Lag6W,Rain_Lag8W,BI,CI,HI,LI,AI,PI,Con100HH,BI_Lag2W,CI_Lag2W,HI_Lag2W,LI_Lag2W,AI_Lag2W,PI_Lag2W,Con100HH_Lag2W,Population density,RT
2013-02-04,歸仁區,2013,2,0.0,0.0,0.0,0.0,20.3,8.557142857142857,73.42857142857143,45.0,0.0,0.0,18.2,17.657142857142855,18.957142857142856,20.900000000000002,0.0,6.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1196.1542391017954,0.01
2013-02-11,歸仁區,2013,2,0.0,0.0,0.0,0.0,19.857142857142858,9.671428571428573,70.85714285714286,51.4,0.0,0.0,19.885714285714283,16.242857142857144,16.642857142857142,19.285714285714285,1.5,0.0,1.0,0.0,1.0,3.333,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1196.1542391017954,0.01
2013-02-18,歸仁區,2013,2,0.0,0.0,0.0,0.0,19.67142857142857,9.028571428571428,76.0,50.3,0.0,0.0,20.3,18.2,17.657142857142855,18.957142857142856,0.0,0.0,6.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1196.1542391017954,0.01
2013-02-25,歸仁區,2013,2,0.0,0.0,0.0,0.0,20.37142857142857,8.885714285714286,75.14285714285714,30.5,0.0,0.0,19.857142857142858,19.885714285714283,16.242857142857144,16.642857142857142,0.0,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.333,1.0,0.0,0.0,0.0,1.0,1196.1542391017954,0.01
2013-03-04,歸仁區,2013,3,0.0,0.0,0.0,0.0,20.857142857142858,8.814285714285715,63.0,62.6,0.0,0.0,19.67142857142857,20.3,18.2,17.657142857142855,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1197.2655234776748,0.01
2013-03-11,歸仁區,2013,3,0.0,0.0,0.0,0.0,22.342857142857145,8.8,71.57142857142857,49.7,0.0,0.0,20.37142857142857,19.857142857142858,19.885714285714283,16.242857142857144,0.0,0.0,1.5,0.0,1.0,1.724,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1197.2655234776748,0.01
2013-03-18,歸仁區,2013,3,0.0,0.0,0.0,0.0,25.085714285714285,6.857142857142857,76.28571428571429,38.9,0.4,0.5,20.857142857142858,19.67142857142857,20.3,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1197.2655234776748,0.01
2013-03-25,歸仁區,2013,3,0.0,0.0,0.0,0.0,23.5,9.042857142857143,71.57142857142857,46.199999999999996,4.1,5.0,22.342857142857145,20.37142857142857,19.857142857142858,19.885714285714283,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.724,1.0,0.0,0.0,0.0,1.0,1197.2655234776748,0.01
2013-04-01,歸仁區,2013,4,0.0,0.0,0.0,0.0,22.942857142857143,7.3999999999999995,77.42857142857143,18.8,15.1,90.2,25.085714285714285,20.857142857142858,19.67142857142857,20.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.724,1.0,0.0,0.0,0.0,1.0,1198.771134567576,0.01
2013-04-08,歸仁區,2013,4,0.0,0.0,0.0,0.0,21.428571428571427,5.8999999999999995,76.0,12.5,3.6,9.5,23.5,22.342857142857145,20.37142857142857,19.857142857142858,5.0,0.0,0.0,0.0,0.4545,2.08325,0.4545,0.0,0.0,0.0,0.4525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1198.771134567576,0.01
