年月,區域別,人口數,人口密度
111.11,歸仁區,67960,1218.1110674961867
111.11,關廟區,33436,623.325683754868
111.11,龍崎區,3604,56.24096851816596
111.11,永康區,233872,5806.834461816547
111.11,東區,180233,13434.583619070336
111.11,南區,120957,4435.842614630282
111.11,北區,125951,12071.20950737972
111.11,安南區,198817,1854.6085133057716
111.11,安平區,67854,6131.588697215871
111.11,中西區,77243,12339.137380191694
111.10,總計,1850955,844.5474331681414
111.10,新營區,74850,1942.208590867338
111.10,鹽水區,24464,468.250854140548
111.10,白河區,26271,207.83262634429443
111.10,柳營區,20406,332.92599958559634
111.10,後壁區,21941,303.8124369105594
111.10,東山區,19436,155.59031619192783
111.10,麻豆區,42944,795.6364498725321
111.10,下營區,22672,676.1887435093695
111.10,六甲區,21347,316.0313322111534
111.10,官田區,20875,294.8642070871937
111.10,大內區,8879,126.2791111111111
111.10,佳里區,58070,1491.1843706827042
111.10,學甲區,24765,458.6799130980758
111.10,西港區,24707,731.6993715683546
111.10,七股區,21453,194.7631031364731
111.10,將軍區,18693,445.28771117399884
111.10,北門區,10213,231.58572617419838
111.10,新化區,42454,684.1030714864667
111.10,善化區,51740,935.459783726905
111.10,新市區,37467,783.6710618787858
111.10,安定區,29936,957.3393028461785
111.10,山上區,7001,251.12992323696105
111.10,玉井區,13153,172.235884461974
111.10,楠西區,8886,81.05327296144542
111.10,南化區,8143,47.47556841834004
111.10,左鎮區,4374,58.395914689095825
111.10,仁德區,76782,1512.4570582117308
111.10,歸仁區,67903,1217.0894028280395
111.10,關廟區,33464,623.8476696127797
111.10,龍崎區,3611,56.3502045835453
111.10,永康區,233801,5805.071594749139
111.10,東區,179965,13414.606875577687
111.10,南區,120892,4433.458876856106
111.10,北區,125974,12073.413839371287
111.10,安南區,198627,1852.8361516992284
111.10,安平區,67775,6124.449906472805
111.10,中西區,77021,12303.674121405751
111.9,總計,1850687,844.4251510423799
111.9,新營區,74800,1940.9111903390367
111.9,鹽水區,24487,468.69108344259314
111.9,白河區,26320,208.22027046484067
111.9,柳營區,20425,333.23598654982874
111.9,後壁區,21978,304.324768170105
111.9,東山區,19449,155.69438462733092
111.9,麻豆區,42953,795.80319558902
111.9,下營區,22683,676.5168167353135
111.9,六甲區,21343,315.97211427285555
111.9,官田區,20883,294.9772089390115
111.9,大內區,8889,126.42133333333334
111.9,佳里區,58082,1491.4925196830175
111.9,學甲區,24767,458.7169556915019
111.9,西港區,24699,731.4624510611078
111.9,七股區,21476,194.97191082640637
111.9,將軍區,18705,445.57356430266134
111.9,北門區,10230,231.97121108019675
111.9,新化區,42446,683.974159615456
111.9,善化區,51722,935.1343435238304
111.9,新市區,37462,783.5664803721428
111.9,安定區,29957,958.0108730412536
111.9,山上區,7007,251.3451467106679
111.9,玉井區,13156,172.27516885742645
111.9,楠西區,8881,81.00766567303587
111.9,南化區,8153,47.53387072512911
111.9,左鎮區,4387,58.56947364907713
111.9,仁德區,76690,1510.6448359544897
111.9,歸仁區,67860,1216.3186733415425
111.9,關廟區,33513,624.7611448641252
111.9,龍崎區,3614,56.39702004013645
111.9,永康區,233741,5803.58184793161
111.9,東區,179879,13408.196428039
111.9,南區,120924,4434.632409298778
111.9,北區,126006,12076.480736055206
111.9,安南區,198523,1851.8660169251204
111.9,安平區,67666,6114.600182536168
111.9,中西區,76931,12289.29712460064
111.8,總計,1850880,844.5132124239917
111.8,新營區,74890,1943.2465112899793
111.8,鹽水區,24505,469.0356107224546
111.8,白河區,26367,208.59209237638504
111.8,柳營區,20444,333.54597351406113
111.8,後壁區,22011,304.78171226645657
111.8,東山區,19467,155.83847938404296
111.8,麻豆區,42978,796.2663781348194
111.8,下營區,22693,676.8150651225353
111.8,六甲區,21363,316.2682039643449
111.8,官田區,20895,295.14671171673825
111.8,大內區,8902,126.60622222222223
111.8,佳里區,58138,1492.9305483511462
111.8,學甲區,24779,458.93921125205816
111.8,西港區,24676,730.7813046027733
111.8,七股區,21485,195.0536181833368
111.8,將軍區,18721,445.95470180754467
111.8,北門區,10244,232.28866923807777
111.8,新化區,42463,684.2480973413539
111.8,善化區,51649,933.8145027002497
111.8,新市區,37433,782.9599076336133
111.8,安定區,29964,958.2347297729453
111.8,山上區,7005,251.2734055527656
111.8,玉井區,13180,172.58944402104595
111.8,楠西區,8900,81.18097336899214
111.8,南化區,8162,47.586342801239276
111.8,左鎮區,4389,58.59617502753579
111.8,仁德區,76599,1508.8523117652621
111.8,歸仁區,67916,1217.3224140681432
111.8,關廟區,33553,625.5068389468562
111.8,龍崎區,3620,56.49065095331875
111.8,永康區,233816,5805.444031453521
111.8,東區,179977,13415.501356629597
111.8,南區,121018,4438.079660849124
111.8,北區,126098,12085.298064021468
111.8,安南區,198085,1847.7802570110894
111.8,安平區,67560,6105.021551918889
111.8,中西區,76935,12289.936102236423
111.7,總計,1850735,844.4470523186357
111.7,新營區,74925,1944.1546916597904
111.7,鹽水區,24530,469.5141208333732
111.7,白河區,26399,208.84524772041524
111.7,柳營區,20486,334.23120785604857
111.7,後壁區,22036,305.1278820364198
111.7,東山區,19505,156.14267942599054
111.7,麻豆區,43002,796.711033378787
111.7,下營區,22756,678.694029962033
111.7,六甲區,21358,316.1941815414725
111.7,官田區,20907,295.31621449446504
111.7,大內區,8908,126.69155555555555
111.7,佳里區,58128,1492.6737575175516
111.7,學甲區,24783,459.0132964389103
111.7,西港區,24646,729.8928527005977
111.7,七股區,21527,195.43491918234542
111.7,將軍區,18732,446.21673384215194
111.7,北門區,10262,232.6968297267819
111.7,新化區,42494,684.7476308415206
111.7,善化區,51563,932.2596217300039
111.7,新市區,37421,782.7089120176701
111.7,安定區,29985,958.9062999680204
111.7,山上區,7002,251.1657938159122
111.7,玉井區,13192,172.7465816028557
111.7,楠西區,8914,81.30867377653888
111.7,南化區,8180,47.6912869534596
111.7,左鎮區,4401,58.75638329828777
111.7,仁德區,76483,1506.5673358756974
111.7,歸仁區,67888,1216.820543704843
111.7,關廟區,33574,625.89832834029
111.7,龍崎區,3621,56.506256105515796
111.7,永康區,233701,5802.588683386592
111.7,東區,180053,13421.16640329169
111.7,南區,121029,4438.483062626292
111.7,北區,126177,12092.869465209891
111.7,安南區,197703,1844.2168773600395
111.7,安平區,67456,6095.623650181181
111.7,中西區,77008,12301.597444089457
111.6,總計,1850865,844.5063682751618
111.6,新營區,74980,1945.581832240922
111.6,鹽水區,24541,469.7246652821774
111.6,白河區,26441,209.17751410945488
111.6,柳營區,20494,334.36172868309376
111.6,後壁區,22060,305.46020501558456
111.6,東山區,19519,156.25475312565544
111.6,麻豆區,43022,797.0815794154265
111.6,下營區,22802,680.0659725432535
111.6,六甲區,21361,316.23859499519597
111.6,官田區,20896,295.1608369482155
111.6,大內區,8924,126.9191111111111
111.6,佳里區,58106,1492.108817683644
111.6,學甲區,24824,459.7726696041443
111.6,西港區,24649,729.9816978908152
111.6,七股區,21585,195.9614777047859
111.6,將軍區,18749,446.62169244109043
111.6,北門區,10278,233.0596390500745
111.6,新化區,42522,685.1988223900584
111.6,善化區,51543,931.8980215043654
111.6,新市區,37410,782.4788327030554
111.6,安定區,29961,958.1387911736489
111.6,山上區,6978,250.3048999210847
111.6,玉井區,13225,173.17870995283252
111.6,楠西區,8930,81.45461709944942
111.6,南化區,8189,47.743759029569766
111.6,左鎮區,4402,58.7697339875171
111.6,仁德區,76409,1505.1096788426992
111.6,歸仁區,67873,1216.5516845816462
111.6,關廟區,33576,625.9356130444265
111.6,龍崎區,3627,56.59988701869809
111.6,永康區,233659,5801.545860614322
111.6,東區,180212,13433.018277229494
111.6,南區,121065,4439.8032866242975
111.6,北區,126257,12100.536706919687
111.6,安南區,197499,1842.3139206877509
111.6,安平區,67337,6084.870281846687
111.6,中西區,76960,12293.929712460063
111.5,總計,1851483,844.7883472069553
111.5,新營區,75014,1946.464064600167
111.5,鹽水區,24566,470.20317539309605
111.5,白河區,26481,209.49395828949264
111.5,柳營區,20503,334.50856461351964
111.5,後壁區,22108,306.124850973914
111.5,東山區,19560,156.58296896038834
111.5,麻豆區,43071,797.9894172051935
111.5,下營區,22825,680.7519438338637
111.5,六甲區,21392,316.69753401700444
111.5,官田區,20874,294.85008185571644
111.5,大內區,8948,127.26044444444445
111.5,佳里區,58162,1493.5468463517727
111.5,學甲區,24857,460.38387239567413
111.5,西港區,24611,728.8563254813929
111.5,七股區,21606,196.1521282042902
111.5,將軍區,18745,446.5264080648696
111.5,北門區,10307,233.71723094854232
111.5,新化區,42514,685.0699105190475
111.5,善化區,51526,931.5906613125727
111.5,新市區,37435,783.0017402362705
111.5,安定區,29983,958.8423409018228
111.5,山上區,6966,249.874452973671
111.5,玉井區,13236,173.32275273615812
111.5,楠西區,8951,81.64616771076952
111.5,南化區,8209,47.860363643147906
111.5,左鎮區,4410,58.87653950135176
111.5,仁德區,76370,1504.3414541901732
111.5,歸仁區,67924,1217.4658056005148
111.5,關廟區,33566,625.7491895237438
111.5,龍崎區,3634,56.70912308407744
111.5,永康區,233730,5803.3087276817305
111.5,東區,180409,13447.702674498345
111.5,南區,121133,4442.297043064973
111.5,北區,126446,12118.650565459076
111.5,安南區,197165,1839.1982955478277
111.5,安平區,67263,6078.183313302549
111.5,中西區,76983,12297.603833865815
111.4,總計,1852429,845.2199848598302
111.4,新營區,75134,1949.5778258680905
111.4,鹽水區,24595,470.7582471217617
111.4,白河區,26513,209.74711363352282
111.4,柳營區,20531,334.9653875081779
111.4,後壁區,22099,306.00022985672723
111.4,東山區,19578,156.72706371710038
111.4,麻豆區,43099,798.508181656489
111.4,下營區,22848,681.437915124474
111.4,六甲區,21387,316.6235115941321
111.4,官田區,20901,295.2314631056017
111.4,大內區,8952,127.31733333333334
111.4,佳里區,58243,1495.6268521038874
111.4,學甲區,24869,460.60612795623047
111.4,西港區,24618,729.0636309252338
111.4,七股區,21682,196.8421014405915
111.4,將軍區,18758,446.8360822875873
111.4,北門區,10324,234.1027158545407
111.4,新化區,42527,685.2793923094401
111.4,善化區,51445,930.1261803987366
111.4,新市區,37411,782.4997490043841
111.4,安定區,29974,958.5545251039335
111.4,山上區,6966,249.874452973671
111.4,玉井區,13240,173.3751319300947
111.4,楠西區,8972,81.83771832208961
111.4,南化區,8213,47.88368456586353
111.4,左鎮區,4412,58.90324087981042
111.4,仁德區,76367,1504.2823599861326
111.4,歸仁區,67918,1217.358261951236
111.4,關廟區,33598,626.3457447899286
111.4,龍崎區,3644,56.86517460604793
111.4,永康區,233750,5803.805309954239
111.4,東區,180793,13476.326068159457
111.4,南區,121225,4445.670948837653
111.4,北區,126579,12131.397354801611
111.4,安南區,197078,1838.3867404964105
111.4,安平區,67172,6069.960149282055
111.4,中西區,77014,12302.555910543131
111.3,總計,1855449,846.5979401575916
111.3,新營區,75337,1954.8452720129947
111.3,鹽水區,24665,472.09807543233387
111.3,白河區,26553,210.06355781356058
111.3,柳營區,20556,335.3732650926942
111.3,後壁區,22148,306.6787226058552
111.3,東山區,19632,157.1593479872364
111.3,麻豆區,43163,799.6939289737356
111.3,下營區,22891,682.7203831895279
111.3,六甲區,21401,316.8307743781746
111.3,官田區,20930,295.64109481844133
111.3,大內區,8966,127.51644444444445
111.3,佳里區,58348,1498.3231558566285
111.3,學甲區,24913,461.42106501160356
111.3,西港區,24530,726.457505345519
111.3,七股區,21700,197.00551615445232
111.3,將軍區,18776,447.2648619805811
111.3,北門區,10332,234.284120516187
111.3,新化區,42622,686.8102207776931
111.3,善化區,51316,927.793858943368
111.3,新市區,37467,783.6710618787858
111.3,安定區,30016,959.8976654940838
111.3,山上區,6974,250.16141760528015
111.3,玉井區,13254,173.55845910887277
111.3,楠西區,8977,81.88332561049916
111.3,南化區,8226,47.95947756468932
111.3,左鎮區,4420,59.01004639364507
111.3,仁德區,76481,1506.5279397396705
111.3,歸仁區,67920,1217.3941098343291
111.3,關廟區,33690,628.06084118021
111.3,龍崎區,3647,56.91199006263908
111.3,永康區,234097,5812.421012382279
111.3,東區,181417,13522.839082858762
111.3,南區,121530,4456.856179931861
111.3,北區,126935,12165.516580410198
111.3,安南區,197151,1839.0677004820823
111.3,安平區,67253,6077.279668904693
111.3,中西區,77215,12334.664536741215
111.2,總計,1858650,848.0584815179008
