Week,Town,Mean(R),Quantile.0.025(R),Quantile.0.975(R)
2019-01-21,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-01-28,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-02-04,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-02-11,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-02-18,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-02-25,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-03-04,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-03-11,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-03-18,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-03-25,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-04-01,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-04-08,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-04-15,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-04-22,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-04-29,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-05-06,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-05-13,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-05-20,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-05-27,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-06-03,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-06-10,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-06-17,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-06-24,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-07-01,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-07-08,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-07-15,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-07-22,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-07-29,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-08-05,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-08-12,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-08-19,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-08-26,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-09-02,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-09-09,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-09-16,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-09-23,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-09-30,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-10-07,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-10-14,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-10-21,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-10-28,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-11-04,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-11-11,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-11-18,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-11-25,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-12-02,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-12-09,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-12-16,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-12-23,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-12-30,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-01-06,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-01-13,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-01-20,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-01-27,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-02-03,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-02-10,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-02-17,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-02-24,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-03-02,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-03-09,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-03-16,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-03-23,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2020-03-30,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
